,product-ratingsContainer,product-ratingsCount,product-base href,product-brand,product-product,product-sizeInventoryPresent,product-discountedPrice,product-strike,product-discountPercentage,product-category
4425,4.2,56,https://www.myntra.com/tshirts/highlander/highlander-men-white-printed-slim-fit-t-shirt/17903414/buy,HIGHLANDER,Men Printed Slim Fit T-shirt,S,Rs. 262,Rs. 749,(65% OFF),topwear
4426,0.0,0,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-solid-long-sleeves-round-neck-t-shirt/21422910/buy,Roadster,Solid Long Sleeves T-shirt,L,Rs. 249,Rs. 499,(50% OFF),topwear
4427,0.0,0,https://www.myntra.com/shirts/fubar/fubar-men-orange-modern-casual-shirt/18624902/buy,FUBAR,Men Casual Shirt,38,Rs. 434,Rs. 1499,(71% OFF),topwear
4428,4.3,24,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-printed-casual-shirt/17732896/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 419,Rs. 1049,(60% OFF),topwear
4429,3.9,109,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue--red-slim-fit-tartan-checks-opaque-checked-casual-shirt/15770050/buy,KETCH,Slim Fit Opaque Casual Shirt,39,Rs. 395,Rs. 899,(56% OFF),topwear
4430,3.6,39,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue-slim-fit-tartan-checks-checked-casual-shirt/16904230/buy,KETCH,Slim Fit Casual Shirt,39,Rs. 399,Rs. 999,(60% OFF),topwear
4431,4.1,2.2k,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co--colourblocked-sleeveless-t-shirt/2297720/buy,Roadster,Colourblock Sleeveless T-shirt,S,Rs. 269,Rs. 599,(55% OFF),topwear
4432,4.4,5,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-floral-printed-pure-cotton-casual-shirt/17505006/buy,Mast & Harbour,Men Floral Printed Shirt,40,Rs. 399,Rs. 1599,(75% OFF),topwear
4433,3.7,42,https://www.myntra.com/tshirts/locomotive/locomotive-men-black-printed-raw-edge-slim-fit-t-shirt/15836182/buy,LOCOMOTIVE,Men Printed Slim Fit T-shirt,M,Rs. 255,Rs. 799,(68% OFF),topwear
4434,4.1,40,https://www.myntra.com/sweatshirts/herenow/herenow-men-sweatshirt/20136884/buy,HERE&NOW,Men Sweatshirt,L,Rs. 391,Rs. 1399,(72% OFF),topwear
4435,4.2,540,https://www.myntra.com/tshirts/ether/ether-men-white--maroon-striped-round-neck-pure-cotton-t-shirt/2026869/buy,ether,Striped Round Neck Pure Cotton T-shirt,S,Rs. 242,Rs. 899,(73% OFF),topwear
4436,4.3,33,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-maroon-colourblocked-round-neck-t-shirt/12062930/buy,LE BOURGEOIS,Men Colourblocked T-shirt,S,Rs. 269,Rs. 999,(73% OFF),topwear
4437,4.1,16,https://www.myntra.com/shirts/v-mart/v-mart-micro-ditsy-printed-short-sleeves-cotton-casual-shirt/22497632/buy,V-Mart,Printed Cotton Casual Shirt,36,Rs. 379,Rs. 399,(5% OFF),topwear
4438,4.3,125,https://www.myntra.com/shirts/highlander/highlander-men-pink-slim-fit-printed-cotton-casual-shirt/17046988/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 419,Rs. 1199,(65% OFF),topwear
4439,4.1,18,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue--red-slim-fit-checked-casual-shirt/17313952/buy,KETCH,Slim Fit Casual Shirt,39,Rs. 399,Rs. 999,(60% OFF),topwear
4440,4.3,82,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-neon-orange-rapid-dry-typography-printed-t-shirt/15177914/buy,HRX by Hrithik Roshan,Training Rapid-Dry T-shirt,S,Rs. 269,Rs. 899,(70% OFF),topwear
4441,4.1,30,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-grey-colourblocked-hooded-t-shirt/11254386/buy,LE BOURGEOIS,Colourblocked Hooded T-shirt,S,Rs. 269,Rs. 999,(73% OFF),topwear
4442,4.6,9,https://www.myntra.com/shirts/ketch/ketch-men-green-slim-fit-printed-casual-shirt/18125406/buy,KETCH,Slim Fit Casual Shirt,40,Rs. 398,Rs. 1049,(62% OFF),topwear
4443,4.5,35,https://www.myntra.com/tshirts/metronaut/metronaut-men-olive-green--white-brand-logo-printed-t-shirt/18785804/buy,Metronaut,Men Brand Logo Printed T-shirt,S,Rs. 239,Rs. 799,(70% OFF),topwear
4444,4.3,334,https://www.myntra.com/shirts/highlander/highlander-men-navy-blue-slim-fit-floral-opaque-printed-casual-shirt/15517942/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,39,Rs. 402,Rs. 1149,(65% OFF),topwear
4445,0.0,0,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-long-sleeve-pure-cotton-t-shirt/21797298/buy,LE BOURGEOIS,Men Pure Cotton T-shirt,S,Rs. 269,Rs. 999,(73% OFF),topwear
4446,3.2,6,https://www.myntra.com/tshirts/invictus/invictus-men-typography-printed-round-neck-casual-t-shirt/21127536/buy,INVICTUS,Men Printed Casual T-shirt,S,Rs. 269,Rs. 598,(55% OFF),topwear
4447,4.1,61,https://www.myntra.com/shirts/encore-by-invictus/encore-by-invictus-men-brown-regular-fit-abstract-opaque-printed-pure-cotton-casual-shirt/19087092/buy,encore by INVICTUS,Men Cotton Printed Shirt,39,Rs. 419,Rs. 1198,(65% OFF),topwear
4448,0.0,0,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-black-slim-fit-printed-casual-shirt/18126718/buy,Dennis Lingo,Slim Fit Casual Shirt,40,Rs. 399,Rs. 2199,(Rs. 1800 OFF),topwear
4449,0.0,0,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-green-slim-fit-printed-casual-shirt/18126714/buy,Dennis Lingo,Slim Fit Casual Shirt,44,Rs. 399,Rs. 2199,(Rs. 1800 OFF),topwear
4450,0.0,0,https://www.myntra.com/tshirts/tripr/tripr-graphic-printed-short-sleeves-cotton-t-shirt/22587824/buy,TRIPR,Printed Cotton T-shirt,L,Rs. 265,Rs. 1399,(81% OFF),topwear
4451,0.0,0,https://www.myntra.com/shirts/gritstones/gritstones-men-comfort-casual-cotton-shirt/21243030/buy,GRITSTONES,Comfort Casual Cotton Shirt,40,Rs. 407,Rs. 1699,(76% OFF),topwear
4452,0.0,0,https://www.myntra.com/tshirts/styli/styli-binding-henley-neck-regular-fit-t-shirt/21424024/buy,Styli,Binding Henley Neck T-shirt,XL,Rs. 269,Rs. 449,(40% OFF),topwear
4453,3.7,15,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-blue-comfort-slim-fit-printed-casual-shirt/17154032/buy,Dennis Lingo,Men Slim Fit Casual Shirt,38,Rs. 399,Rs. 2199,(Rs. 1800 OFF),topwear
4454,3.7,212,https://www.myntra.com/shirts/highlander/highlander-men-rust-printed-slim-fit-casual-shirt/14793022/buy,HIGHLANDER,Men Printed Casual Shirt,39,Rs. 404,Rs. 1349,(70% OFF),topwear
4455,3.3,8,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-pure-cotton-t-shirt/21797312/buy,LE BOURGEOIS,Men Pure Cotton T-shirt,S,Rs. 269,Rs. 999,(73% OFF),topwear
4456,3.9,29,https://www.myntra.com/shirts/indus-route-by-pantaloons/indus-route-by-pantaloons-men-beige-regular-fit-printed-cotton-casual-shirt/13549938/buy,indus route by Pantaloons,Regular Fit Casual Shirt,44,Rs. 439,Rs. 799,(45% OFF),topwear
4457,3.6,35,https://www.myntra.com/tshirts/highlander/highlander-men-black-printed-cotton-t-shirt/20456244/buy,HIGHLANDER,Men Printed Cotton T-shirt,M,Rs. 254,Rs. 849,(70% OFF),topwear
4458,3.9,74,https://www.myntra.com/shirts/ketch/ketch-men-white-slim-fit-checked-casual-shirt/16904234/buy,KETCH,Men Slim Fit Casual Shirt,39,Rs. 399,Rs. 999,(60% OFF),topwear
4459,3.9,494,https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-horizontal-stripes-opaque-striped-casual-shirt/15782174/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,39,Rs. 437,Rs. 1249,(65% OFF),topwear
4460,3.9,132,https://www.myntra.com/shirts/highlander/highlander-men-black--green-colourblocked--slim-fit-casual-shirt/16199406/buy,HIGHLANDER,Men Slim Fit Casual Shirt,42,Rs. 395,Rs. 1199,(67% OFF),topwear
4461,4.3,190,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-printed-cotton-casual-shirt/16680966/buy,HIGHLANDER,Slim Fit Casual Shirt,44,Rs. 419,Rs. 1199,(65% OFF),topwear
4462,4.3,138,https://www.myntra.com/shirts/locomotive/locomotive-men-coral-pink-slim-fit-floral-printed-casual-shirt/17580020/buy,LOCOMOTIVE,Slim Fit Casual Shirt,39,Rs. 419,Rs. 1399,(70% OFF),topwear
4463,3.5,29,https://www.myntra.com/shirts/highlander/highlander-men-mint-green-slim-fit-cotton-casual-shirt/17434928/buy,HIGHLANDER,Men Slim Fit Cotton Shirt,42,Rs. 404,Rs. 1349,(70% OFF),topwear
4464,0.0,0,https://www.myntra.com/shirts/hancock/hancock-slim-fit-spread-collar-formal-shirt/22003002/buy,Hancock,Slim Fit Formal Shirt,38,Rs. 435,Rs. 1899,(Rs. 1464 OFF),topwear
4465,4.1,18,https://www.myntra.com/shirts/valen-club/valen-club-men-blue-slim-fit-casual-shirt/20990400/buy,VALEN CLUB,Slim Fit Casual Shirt,36,Rs. 439,Rs. 2199,(80% OFF),topwear
4466,3.2,23,https://www.myntra.com/shirts/ketch/ketch-men-black-slim-fit-checked-casual-shirt/17278958/buy,KETCH,Slim Fit Casual Shirt,42,Rs. 399,Rs. 999,(60% OFF),topwear
4467,3.8,110,https://www.myntra.com/sweatshirts/roadster/roadster-men-solid-sweatshirt/20136988/buy,Roadster,Men Solid Sweatshirt,M,Rs. 391,Rs. 1399,(72% OFF),topwear
4468,4.2,1.1k,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-printed-casual-shirt/13842342/buy,HIGHLANDER,Slim Fit Casual Shirt,40,Rs. 439,Rs. 1099,(60% OFF),topwear
4469,0.0,0,https://www.myntra.com/sweatshirts/black-radio/black-radio-pure-cotton-pullover-sweatshirt/21215018/buy,BLACK RADIO,Cotton Pullover Sweatshirt,L,Rs. 424,Rs. 1699,(75% OFF),topwear
4470,3.9,9,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue-slim-fit-checked-casual-shirt/18192840/buy,KETCH,Slim Fit Casual Shirt,42,Rs. 399,Rs. 999,(60% OFF),topwear
4471,2.8,5,https://www.myntra.com/shirts/kryptic/kryptic-men-burgundy-smart-regular-fit-solid-casual-shirt/20044160/buy,Kryptic,Formal Shirt,39,Rs. 399,Rs. 1999,(80% OFF),topwear
4472,4.4,53,https://www.myntra.com/shirts/highlander/highlander-men-navy-blue-slim-fit-printed-casual-shirt/14205798/buy,HIGHLANDER,Slim Fit Casual Shirt,44,Rs. 412,Rs. 1649,(75% OFF),topwear
4473,4.4,44,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-anthra-mel-bio-wash-typography-t-shirts/17208282/buy,HRX by Hrithik Roshan,Lifestyle Bio-Wash T-shirts,M,Rs. 269,Rs. 899,(70% OFF),topwear
4474,4.1,46,https://www.myntra.com/tshirts/highlander/highlander-men-white--blue-printed-slim-fit-cotton-t-shirt/17903410/buy,HIGHLANDER,Men Printed Slim Fit T-shirt,S,Rs. 262,Rs. 749,(65% OFF),topwear
4475,4.0,11,https://www.myntra.com/tshirts/vimal-jonney/vimal-jonney-men-olive-green-t-shirt/20061918/buy,VIMAL JONNEY,Men T-shirt,S,Rs. 259,Rs. 999,(74% OFF),topwear
4476,4.2,21,https://www.myntra.com/shirts/valen-club/valen-club-men-slim-fit-pure-cotton-casual-shirt/19966356/buy,VALEN CLUB,Men Pure Cotton Casual Shirt,36,Rs. 439,Rs. 2199,(80% OFF),topwear
4477,3.0,7,https://www.myntra.com/shirts/highlander/highlander-men-sea-green-slim-fit-floral-printed-casual-shirt/20145610/buy,HIGHLANDER,Floral Printed Casual Shirt,39,Rs. 431,Rs. 1599,(73% OFF),topwear
4478,0.0,0,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-grey-solid-t-shirt/18451658/buy,LE BOURGEOIS,Men Solid T-Shirt,M,Rs. 269,Rs. 999,(73% OFF),topwear
4479,4.3,332,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-grey-melange-solid-round-neck-pure-cotton-t-shirt/10943254/buy,Roadster,Solid Round Neck Pure Cotton T-shirt,M,Rs. 244,Rs. 499,(51% OFF),topwear
4480,4.4,83,https://www.myntra.com/tshirts/highlander/highlander-men-white-printed-slim-fit-t-shirt/17504752/buy,HIGHLANDER,Men Printed Slim Fit T-shirt,S,Rs. 259,Rs. 649,(60% OFF),topwear
4481,0.0,0,https://www.myntra.com/shirts/valen-club/valen-club-abstract-printed-spread-collar-slim-fit-casual-cotton-shirt/22739860/buy,VALEN CLUB,Printed Cotton Casual Shirt,50,Rs. 439,Rs. 2199,(80% OFF),topwear
4482,4.1,90,https://www.myntra.com/shirts/locomotive/locomotive-men-blue-slim-fit-printed-casual-shirt/17504864/buy,LOCOMOTIVE,Slim Fit Casual Shirt,42,Rs. 419,Rs. 1399,(70% OFF),topwear
4483,3.8,11,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-printed-casual-shirt/21980240/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 418,Rs. 1549,(73% OFF),topwear
4484,0.0,0,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-long-sleeve-pure-cotton-t-shirt/21797320/buy,LE BOURGEOIS,Men Pure Cotton T-shirt,S,Rs. 269,Rs. 999,(73% OFF),topwear
4485,4.1,82,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-white-solid-hood-t-shirt/11254436/buy,LE BOURGEOIS,Solid Hood T-shirt,M,Rs. 269,Rs. 999,(73% OFF),topwear
4486,4.2,44,https://www.myntra.com/shirts/highlander/highlander-men-navy-blue--red-floral-printed-cotton-slim-fit-casual-shirt/19647832/buy,HIGHLANDER,Men Cotton Slim Fit Casual Shirt,40,Rs. 402,Rs. 1149,(65% OFF),topwear
4487,4.0,761,https://www.myntra.com/shirts/highlander/highlander-men-white-and-black-slim-fit-striped-casual-shirt/11899516/buy,HIGHLANDER,Men Slim Fit Casual Shirt,40,Rs. 419,Rs. 1049,(60% OFF),topwear
4488,4.2,98,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-maroon-solid-round-neck-t-shirt/12062952/buy,LE BOURGEOIS,Men Solid Round Neck T-shirt,M,Rs. 269,Rs. 999,(73% OFF),topwear
4489,4.2,140,https://www.myntra.com/tshirts/herenow/herenow-men-charcoal-varsity-printed-round-neck-casual-t-shirt/18239074/buy,HERE&NOW,Men Varsity Printed T-shirt,S,Rs. 239,Rs. 599,(60% OFF),topwear
4490,0.0,0,https://www.myntra.com/tshirts/mozafia/mozafia-men-navy-blue-solid-regular-fit-running-t-shirt/18944190/buy,MOZAFIA,Men Solid Regular Fit T-shirt,M,Rs. 239,Rs. 999,(76% OFF),topwear
4491,3.3,12,https://www.myntra.com/shirts/valen-club/valen-club-men-green-slim-fit-casual-shirt/20990414/buy,VALEN CLUB,Slim Fit Casual Shirt,38,Rs. 439,Rs. 2199,(80% OFF),topwear
4492,4.0,254,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-opaque-casual-shirt/15517996/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,40,Rs. 439,Rs. 1099,(60% OFF),topwear
4493,4.2,13,https://www.myntra.com/tshirts/herenow/herenow-men-maroon--white-striped-round-neck-pure-cotton-t-shirt/8879389/buy,HERE&NOW,Striped Round Neck Pure Cotton T-shirt,S,Rs. 259,Rs. 649,(60% OFF),topwear
4494,4.3,1.5k,https://www.myntra.com/shirts/highlander/highlander-men-yellow-slim-fit-printed-casual-shirt/11648094/buy,HIGHLANDER,Slim Fit Casual Shirt,40,Rs. 419,Rs. 1049,(60% OFF),topwear
4495,4.0,3.4k,https://www.myntra.com/shirts/highlander/highlander-men-black--rust-slim-fit-striped-casual-shirt/11648088/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 419,Rs. 1049,(60% OFF),topwear
4496,3.4,5,https://www.myntra.com/shirts/valen-club/valen-club-men-slim-fit-pure-cotton-casual-shirt/19966348/buy,VALEN CLUB,Men Pure Cotton Casual Shirt,36,Rs. 439,Rs. 2199,(80% OFF),topwear
4497,0.0,0,https://www.myntra.com/shirts/kryptic/kryptic-men-black-windowpane-checked-cotton-casual-shirt/20681876/buy,Kryptic,Men Cotton Casual Shirt,39,Rs. 399,Rs. 1999,(80% OFF),topwear
4498,4.1,39,https://www.myntra.com/tshirts/roadster/the-roadster-life-co-henley-neck-pure-cotton-t-shirt/21423502/buy,Roadster,Henley Neck Cotton T-shirt,M,Rs. 239,Rs. 399,(40% OFF),topwear
4499,3.8,40,https://www.myntra.com/shirts/locomotive/locomotive-men-blue-solid-slim-fit-casual-cotton-shirt/17934092/buy,LOCOMOTIVE,Men Solid Casual Cotton Shirt,39,Rs. 404,Rs. 1349,(70% OFF),topwear
4500,4.0,69,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-yoga-men-grey-melange-typography-sustainable-t-shirt/14703202/buy,HRX by Hrithik Roshan,Yoga Sustainable T-shirt,S,Rs. 274,Rs. 1099,(75% OFF),topwear
4501,3.7,38,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-opaque-colourblocked-casual-shirt/15708570/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,39,Rs. 404,Rs. 1349,(70% OFF),topwear
4502,0.0,0,https://www.myntra.com/tshirts/people/people-men-yellow-pure-cotton-printed-pure-cotton-t-shirt/15604304/buy,People,Pure Cotton Printed Pure Cotton T-shirt,XL,Rs. 274,Rs. 499,(45% OFF),topwear
4503,0.0,0,https://www.myntra.com/shirts/highlander/highlander-men-pink-slim-fit-printed-casual-shirt/18192638/buy,HIGHLANDER,Slim Fit Casual Shirt,39,Rs. 362,Rs. 1249,(71% OFF),topwear
4504,4.3,2.6k,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-solid-v-neck-short-sleeves-casual-t-shirt/1996725/buy,Roadster,Men  Solid V-Neck T-shirt,S,Rs. 269,Rs. 599,(55% OFF),topwear
4505,3.7,121,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-opaque-printed-casual-shirt/15253368/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,39,Rs. 419,Rs. 1049,(60% OFF),topwear
4506,3.7,188,https://www.myntra.com/shirts/highlander/highlander-men-navy-blue--peach-slim-fit-printed-cotton-casual-shirt/16658292/buy,HIGHLANDER,Slim Fit Casual Shirt,40,Rs. 402,Rs. 1149,(65% OFF),topwear
4507,3.6,46,https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-printed-casual-shirt/16519900/buy,HIGHLANDER,Men Slim Fit Casual Shirt,40,Rs. 389,Rs. 1299,(70% OFF),topwear
4508,3.9,118,https://www.myntra.com/shirts/highlander/highlander-men-grey-slim-fit-floral-printed-casual-shirt/17194096/buy,HIGHLANDER,Men Slim Fit Casual Shirt,40,Rs. 402,Rs. 1149,(65% OFF),topwear
4509,3.7,255,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-opaque-casual-shirt/15295186/buy,HIGHLANDER,Slim Fit Opaque Casual Shirt,39,Rs. 439,Rs. 1099,(60% OFF),topwear
4510,0.0,0,https://www.myntra.com/tshirts/tripr/tripr-typography-printed-cotton-casual-t-shirt/22593516/buy,TRIPR,Printed Cotton Casual T-Shirt,S,Rs. 239,Rs. 1999,(88% OFF),topwear
4511,4.1,10,https://www.myntra.com/shirts/ketch/ketch-men-lavender-slim-fit-abstract-printed-casual-shirt/18125402/buy,KETCH,Abstract Printed Casual Shirt,39,Rs. 398,Rs. 1049,(62% OFF),topwear
4512,4.1,729,https://www.myntra.com/tshirts/roadster/roadster-men-beige-solid-round-neck-t-shirt/11632494/buy,Roadster,Solid Round Neck T-shirt,S,Rs. 249,Rs. 499,(50% OFF),topwear
4513,4.0,2.6k,https://www.myntra.com/tshirts/roadster/roadster-men-olive-green-solid-round-neck-t-shirt/11632500/buy,Roadster,Solid Round Neck T-shirt,S,Rs. 249,Rs. 499,(50% OFF),topwear
4514,3.9,519,https://www.myntra.com/tshirts/harvard/harvard-men-maroon-anti-microbial-solid-round-neck-t-shirt/12151956/buy,Harvard,Solid Round Neck T-shirt,S,Rs. 239,Rs. 599,(60% OFF),topwear
4515,3.6,12,https://www.myntra.com/tshirts/highlander/highlander-men-green-typography-printed-round-neck-applique-slim-fit-t-shirt/20377640/buy,HIGHLANDER,Men TypographySlim Fit T-shirt,S,Rs. 262,Rs. 749,(65% OFF),topwear
4516,3.6,53,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-navy-blue--yellow-colourblocked-round-neck-t-shirt/12062956/buy,LE BOURGEOIS,Colourblocked Round Neck T-shirt,S,Rs. 269,Rs. 999,(73% OFF),topwear
4517,4.5,41,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-jet-black-bio-wash-typography-tshirts/17207814/buy,HRX by Hrithik Roshan,Training Bio-Wash Tshirts,S,Rs. 269,Rs. 899,(70% OFF),topwear
4518,4.4,29,https://www.myntra.com/tshirts/metronaut/metronaut-men-black--blue-typography-printed-t-shirt/18785848/buy,Metronaut,Men Typography Printed T-shirt,S,Rs. 239,Rs. 799,(70% OFF),topwear
4519,3.9,457,https://www.myntra.com/tshirts/herenow/herenow-men-white--black-brand-logo-print-round-neck-pure-cotton-t-shirt/12816854/buy,HERE&NOW,Brand Logo Pure Cotton T-shirt,S,Rs. 239,Rs. 599,(60% OFF),topwear
4520,3.8,266,https://www.myntra.com/shirts/locomotive/locomotive-men-blue--purple-slim-fit-striped-casual-shirt/13919950/buy,LOCOMOTIVE,Slim Fit Casual Shirt,42,Rs. 389,Rs. 1299,(70% OFF),topwear
4521,4.2,65,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-blue-beast-rapid-dry-typography-tshirts/17860784/buy,HRX by Hrithik Roshan,Training Rapid-Dry Tshirts,L,Rs. 269,Rs. 899,(70% OFF),topwear
4522,3.5,139,https://www.myntra.com/tshirts/locomotive/locomotive-men-white--yellow-slim-fit-cotton-t-shirt/15753082/buy,LOCOMOTIVE,Men Slim Fit T-shirt,M,Rs. 255,Rs. 799,(68% OFF),topwear
4523,4.1,88,https://www.myntra.com/shirts/locomotive/locomotive-men-orange--off-white-slim-fit-printed-casual-shirt/13780154/buy,LOCOMOTIVE,Slim Fit Casual Shirt,40,Rs. 389,Rs. 1299,(70% OFF),topwear
4524,4.2,13,https://www.myntra.com/tshirts/herenow/herenow-men-white-solid-round-neck-pure-cotton-t-shirt/8879285/buy,HERE&NOW,Solid Round Neck Pure Cotton T-shirt,S,Rs. 239,Rs. 599,(60% OFF),topwear
4525,0.0,0,https://www.myntra.com/tshirts/the-eg-store/the-eg-store-men-cotton-t-shirt/21310474/buy,THE EG STORE,Men Cotton T-shirt,S,Rs. 255,Rs. 799,(68% OFF),topwear
4526,4.1,84,https://www.myntra.com/tshirts/highlander/highlander-men-white-printed-slim-fit-cotton-t-shirt/17903446/buy,HIGHLANDER,Men Printed Slim Fit T-shirt,S,Rs. 262,Rs. 749,(65% OFF),topwear
4527,4.3,54,https://www.myntra.com/tshirts/locomotive/locomotive-men-white-graphic-printed-slim-fit-cotton-t-shirt/17434982/buy,LOCOMOTIVE,Men Slim Fit T-shirt,M,Rs. 263,Rs. 799,(67% OFF),topwear
4528,0.0,0,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-round-neck-pure-cotton-t-shirt/21797278/buy,LE BOURGEOIS,Men Round Neck Cotton T-shirt,M,Rs. 269,Rs. 999,(73% OFF),topwear
4529,4.0,48,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-solid-casual-shirt/13027266/buy,HIGHLANDER,Slim Fit Casual Shirt,42,Rs. 412,Rs. 1649,(75% OFF),topwear
4530,3.9,98,https://www.myntra.com/shirts/highlander/highlander-men-blue--red-tartan-checked-casual-shirt/16032964/buy,HIGHLANDER,Men Checked Casual Shirt,39,Rs. 434,Rs. 1449,(70% OFF),topwear
4531,4.2,59,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-navy-blue-solid-hooded-t-shirt/11254378/buy,LE BOURGEOIS,Solid Hooded T-shirt,L,Rs. 269,Rs. 999,(73% OFF),topwear
4532,0.0,0,https://www.myntra.com/sweatshirts/smartees/smartees-typography-printed-cotton-sweatshirt/22804662/buy,SMARTEES,Printed Cotton Sweatshirt,M,Rs. 383,Rs. 1599,(76% OFF),topwear
4533,0.0,0,https://www.myntra.com/tshirts/agon/agon-dri-fit-technology-sports-t-shirt/22347718/buy,AGON,Dri-FIT Technology T-Shirt,L,Rs. 269,Rs. 999,(73% OFF),topwear
4534,4.3,1.6k,https://www.myntra.com/tshirts/roadster/roadster-men-green-melange-solid-round-neck-t-shirt/1996721/buy,Roadster,Solid Round Neck T-shirt,S,Rs. 274,Rs. 499,(45% OFF),topwear
4535,4.4,9,https://www.myntra.com/tshirts/dixcy-scott/dixcy-scott-men-navy-blue-v-neck-raw-edge-t-shirt/19615116/buy,DIXCY SCOTT,Men V-Neck Raw Edge T-shirt,L,Rs. 245,Rs. 409,(40% OFF),topwear
4536,4.2,12,https://www.myntra.com/tshirts/le-bourgeois/le-bourgeois-men-grey--black-colourblocked-regular-fit-t-shirt/18979294/buy,LE BOURGEOIS,Men Colourblocked T-shirt,M,Rs. 269,Rs. 999,(73% OFF),topwear
4537,3.9,210,https://www.myntra.com/tshirts/locomotive/locomotive-men-black-printed-slim-fit-t-shirt/15753076/buy,LOCOMOTIVE,Black Printed Slim Fit T-shirt,M,Rs. 255,Rs. 799,(68% OFF),topwear
4538,0.0,0,https://www.myntra.com/tshirts/mozafia/mozafia-men-black-round-neck-short-sleeves-t-shirt/18944196/buy,MOZAFIA,Men Round Neck T-shirt,S,Rs. 239,Rs. 999,(76% OFF),topwear
4539,3.4,40,https://www.myntra.com/tshirts/locomotive/locomotive-men-mustard-yellow-locomotive-printed-t-shirt/15778782/buy,LOCOMOTIVE,Men Printed Slim Fit T-shirt,S,Rs. 255,Rs. 799,(68% OFF),topwear
4540,4.1,10,https://www.myntra.com/tshirts/highlander/highlander-men-white-typography-printed-round-neck-slim-fit-cotton-t-shirt/20817528/buy,HIGHLANDER,Men Printed Cotton T-shirt,S,Rs. 262,Rs. 749,(65% OFF),topwear
4541,4.4,58,https://www.myntra.com/tshirts/highlander/highlander-men-yellow-printed-round-neck-t-shirt/14014798/buy,HIGHLANDER,Printed Round Neck T-shirt,S,Rs. 274,Rs. 549,(50% OFF),topwear
4542,4.2,26,https://www.myntra.com/tshirts/metronaut/metronaut-men-black-graphic-printed-t-shirt/18785928/buy,Metronaut,Men Printed T-shirt,M,Rs. 239,Rs. 799,(70% OFF),topwear
4543,4.4,40,https://www.myntra.com/tshirts/m7-by-metronaut/m7-by-metronaut-men-blue--white-brand-logo-printed-t-shirt/18795686/buy,M7 by Metronaut,Men Brand Logo Printed T-shirt,S,Rs. 239,Rs. 799,(70% OFF),topwear
